datetime,temp,icon,tempmin,tempmax
2018-06-01,21.6,Rainy,17.9,26.7
2018-06-02,25.1,Rainy,20.7,30.6
2018-06-03,17.0,Rainy,12.8,21.7
2018-06-04,16.8,Rainy,11.7,23.7
2018-06-05,19.8,Partly cloudy,16.1,24.2
2018-06-06,18.1,Partly cloudy,16.1,21.7
2018-06-07,18.0,Partly cloudy,16.1,21.7
2018-06-08,21.8,Partly cloudy,16.2,27.2
2018-06-09,23.5,Clear,20.6,28.7
2018-06-10,20.2,Cloudy,16.7,22.2
2018-06-11,17.9,Rainy,14.4,22.8
2018-06-12,18.6,Clear,14.7,22.9
2018-06-13,20.9,Rainy,17.8,24.4
2018-06-14,24.8,Clear,19.4,30.5
2018-06-15,21.6,Partly cloudy,18.3,24.9
2018-06-16,23.4,Clear,17.9,29.3
2018-06-17,25.1,Clear,19.4,31.7
2018-06-18,26.3,Rainy,21.8,32.2
2018-06-19,27.4,Rainy,23.5,32.1
2018-06-20,24.2,Partly cloudy,21.6,27.7
2018-06-21,24.0,Rainy,18.9,29.9
2018-06-22,21.2,Partly cloudy,19.4,23.8
2018-06-23,18.8,Rainy,17.8,19.9
2018-06-24,23.6,Rainy,19.3,28.7
2018-06-25,24.3,Rainy,20.6,28.7
2018-06-26,21.8,Clear,18.7,25.0
2018-06-27,21.1,Rainy,18.9,23.3
2018-06-28,24.0,Rainy,21.1,28.8
2018-06-29,27.7,Rainy,22.8,33.7
2018-06-30,28.7,Clear,23.4,34.3
2018-07-01,29.8,Clear,24.0,35.6
2018-07-02,29.2,Rainy,25.7,34.4
2018-07-03,27.1,Rainy,25.1,32.9
2018-07-04,26.8,Clear,24.4,30.5
2018-07-05,27.4,Partly cloudy,23.9,31.2
2018-07-06,25.6,Rainy,23.3,27.8
2018-07-07,21.6,Clear,18.8,25.6
2018-07-08,22.9,Clear,18.8,28.3
2018-07-09,24.8,Clear,20.0,30.6
2018-07-10,27.4,Clear,21.7,33.3
2018-07-11,26.5,Partly cloudy,23.4,31.1
2018-07-12,24.7,Rainy,21.5,29.9
2018-07-13,24.6,Clear,21.1,29.2
2018-07-14,26.5,Clear,21.2,31.7
2018-07-15,24.4,Rainy,21.2,29.9
2018-07-16,27.7,Rainy,23.9,32.2
2018-07-17,25.7,Rainy,22.0,31.6
2018-07-18,25.0,Partly cloudy,21.1,28.7
2018-07-19,23.5,Clear,19.7,27.5
2018-07-20,23.7,Clear,20.8,27.9
2018-07-21,22.0,Rainy,18.6,24.7
2018-07-22,23.8,Rainy,19.7,26.2
2018-07-23,25.0,Rainy,23.3,27.2
2018-07-24,25.9,Rainy,24.2,27.8
2018-07-25,24.5,Rainy,23.0,25.3
2018-07-26,25.7,Rainy,22.6,29.1
2018-07-27,25.8,Rainy,21.2,29.8
2018-07-28,25.4,Partly cloudy,21.4,29.2
2018-07-29,24.9,Partly cloudy,22.0,27.5
2018-07-30,23.5,Rainy,20.9,25.5
2018-07-31,23.6,Partly cloudy,20.5,27.4
2018-08-01,26.3,Rainy,23.6,29.4
2018-08-02,27.6,Rainy,24.8,30.6
2018-08-03,26.3,Rainy,23.8,29.2
2018-08-04,26.8,Rainy,23.8,32.0
2018-08-05,29.0,Clear,24.3,33.7
2018-08-06,29.4,Clear,25.7,33.8
2018-08-07,28.0,Rainy,24.9,32.7
2018-08-08,28.0,Rainy,24.4,33.3
2018-08-09,28.5,Rainy,24.3,32.7
2018-08-10,27.4,Partly cloudy,24.3,32.1
2018-08-11,24.0,Rainy,22.2,26.7
2018-08-12,25.8,Rainy,23.3,30.5
2018-08-13,23.7,Rainy,22.8,26.0
2018-08-14,24.0,Rainy,20.8,29.2
2018-08-15,27.0,Rainy,21.7,32.7
2018-08-16,28.7,Rainy,24.4,33.2
2018-08-17,28.1,Rainy,24.9,32.1
2018-08-18,25.9,Rainy,23.3,31.0
2018-08-19,22.5,Rainy,21.1,23.3
2018-08-20,22.5,Cloudy,21.1,23.8
2018-08-21,23.1,Rainy,20.6,26.1
2018-08-22,25.5,Rainy,22.8,30.5
2018-08-23,24.0,Rainy,20.6,27.7
2018-08-24,24.7,Rainy,20.5,29.8
2018-08-25,24.2,Clear,21.1,27.7
2018-08-26,25.2,Partly cloudy,21.1,29.9
2018-08-27,27.7,Clear,23.1,32.1
2018-08-28,30.1,Rainy,25.7,35.5
2018-08-29,30.6,Rainy,26.7,34.9
2018-08-30,29.7,Rainy,26.7,33.2
2018-08-31,24.2,Rainy,22.8,27.1
2018-09-01,23.2,Partly cloudy,21.7,26.1
2018-09-02,24.7,Partly cloudy,21.6,28.7
2018-09-03,28.0,Rainy,24.4,32.2
2018-09-04,29.7,Rainy,26.1,34.2
2018-09-05,28.2,Rainy,25.6,32.8
2018-09-06,28.4,Rainy,25.5,34.3
2018-09-07,24.3,Rainy,22.1,25.5
2018-09-08,21.2,Rainy,18.7,22.8
2018-09-09,16.8,Rainy,14.1,18.7
2018-09-10,16.9,Rainy,13.9,18.8
2018-09-11,21.3,Rainy,18.3,25.5
2018-09-12,23.7,Rainy,22.8,25.6
2018-09-13,22.9,Rainy,21.1,26.5
2018-09-14,22.7,Rainy,21.1,24.9
2018-09-15,23.3,Partly cloudy,21.1,26.7
2018-09-16,24.4,Clear,20.6,28.8
2018-09-17,23.8,Rainy,21.7,26.5
2018-09-18,24.0,Rainy,22.1,26.1
2018-09-19,24.5,Rainy,21.7,29.2
2018-09-20,21.0,Rainy,18.9,24.2
2018-09-21,21.7,Rainy,20.6,23.3
2018-09-22,22.3,Rainy,19.2,23.8
2018-09-23,18.7,Partly cloudy,17.7,19.9
2018-09-24,18.6,Partly cloudy,16.6,21.6
2018-09-25,19.7,Rainy,16.1,23.3
2018-09-26,24.7,Rainy,22.2,29.9
2018-09-27,20.9,Partly cloudy,18.2,24.8
2018-09-28,17.4,Rainy,15.5,20.0
2018-09-29,19.5,Partly cloudy,15.6,24.8
2018-09-30,19.3,Clear,15.5,22.7
